0,1,2,3
[00:00] hello everyone welcome back so in this,,,
[00:03] project we're going to build AI powered,,,
[00:05] water tracking app using fast API Lang,,,
[00:08] chain and streamlet so the goal was to,,,
[00:11] help users track their daily water,,,
[00:13] intake while getting intelligent,,,
[00:15] feedback from AI assistant so in this,,,
[00:18] project uh we're going to build a back,,,
[00:20] end with a fast API that logs water,,,
[00:23] intake and stores it in a sqlite,,,
[00:26] database so then we have integrated that,,,
[00:29] with the B chain uh that is an open AI,,,
[00:32] to generate a personalized hydration,,,
[00:34] feedback based on how much water the,,,
[00:36] user has consumed so to make it user,,,
[00:39] friendly so we have designed a clean,,,
[00:41] streamlit dashboard where users can log,,,
[00:44] their intake view of their history and,,,
[00:46] even see the visual charts as well so,,,
[00:48] let's start building this,,,
[00:51] project all right so let's start,,,
[00:52] building our project so first step let's,,,
[00:54] go and create empty folder for this,,,
[00:57] project I'll go here let me just go and,,,
[01:00] create and name this folder as uh,,,
[01:06] uron uh water,,,
[01:14] intake uh uron water tracker,,,
[01:18] okay uron water,,,
[01:24] tracker all right so let me just get,,,
[01:27] into this particular folder and right,,,
[01:29] now it's completely blank okay so in,,,
[01:31] this project I'll be using AA uh to,,,
[01:34] create an environments so in case if you,,,
[01:36] don't have K just go and install it from,,,
[01:38] the Chrome uh uh you need to install uh,,,
[01:41] anakonda Navigator so if you install,,,
[01:44] anakonda Navigator so once you're done,,,
[01:46] with anakonda installation you can just,,,
[01:48] go and search your anakonda prompt and,,,
[01:50] from here you can just uh create an,,,
[01:51] environments right so in case if you are,,,
[01:54] not familiar with anakonda and just use,,,
[01:56] uh python VV module to create an,,,
[01:58] environments,,,
[02:00] so if you're following along so I'll be,,,
[02:02] using a k to create an environment so,,,
[02:04] right now the the folder is blank let me,,,
[02:06] just go and open the vs code in the same,,,
[02:09] folder uh so to do that let me just open,,,
[02:12] the,,,
[02:14] anakonda anakonda,,,
[02:20] prompt and let me just copy this path,,,
[02:23] over,,,
[02:24] here and let's do CD into,,,
[02:27] this and type code code dot so codee dot,,,
[02:32] basically opens,,,
[02:34] the uh vs code uh in the same folder let,,,
[02:38] me just expand,,,
[02:45] that all right so here so I have just,,,
[02:48] opened the vs code in the same folder in,,,
[02:50] the uron water tracker so let me just go,,,
[02:53] to terminal and click on new,,,
[02:56] terminal and here let me just open the,,,
[02:59] command prompt okay so right now I'm,,,
[03:01] inside the base environment so let's,,,
[03:03] create an environment to create,,,
[03:04] environment I'll type K,,,
[03:06] create K create hyphen hyphen name and,,,
[03:11] the name of the environment I'll just,,,
[03:12] give uh euron,,,
[03:16] AI tracker your on water,,,
[03:24] tracker you're on order tracker and here,,,
[03:28] let me just give the python version so,,,
[03:30] I'll be using 3.10 for this project and,,,
[03:43] enter and let me just give i,,,
[03:58] s all right so now the next step let's,,,
[04:01] activate this environment so right now,,,
[04:03] I'm in the base environment to activate,,,
[04:05] I'll just type here K,,,
[04:07] activate and the environment name okay,,,
